# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"cell","design","n","p","arm","measure","value","mcse","minutes","arm_label"
"I","I (n=500,p=20)",500,20,"oads_thr","width_emp",0.914637600473652,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","width_stk",0.956069482907686,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","cov_w1_stk",0.992,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","cov_w2_stk",0.998,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","width_w1_stk",1.44386003541161,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","width_w2_stk",1.93165058791553,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","trim_frac",0.02314,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","n_fail",0,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_thr","n_reps",500,NA,1.41735934813817,"ODS-thr (theory object) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","bias",-0.00700416966462258,0.0133306260876584,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","emp_sd",0.298081861146363,0.00943561644302053,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","rmse",0.297865991253251,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","mean_se_emp",0.283859867532863,0.00189966270280148,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","mean_se_stk",0.316618152686156,0.00213880461434824,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","se_ratio_emp",0.952288295709088,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","se_ratio_stk",1.06218523820439,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","cov_emp",0.934,0.0111035129576184,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","cov_stk",0.956,0.00917213170424412,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","width_emp",1.11273068072882,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","width_stk",1.24114315852973,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","cov_w1_stk",0.99,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","cov_w2_stk",1,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","width_w1_stk",1.87437946390205,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","width_w2_stk",2.50761576927436,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","trim_frac",0.120476,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","n_fail",0,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"oads_bic","n_reps",500,NA,1.41735934813817,"ODS-bic (software variant) + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","bias",0.00673437727693948,0.0151022577104722,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","emp_sd",0.337696748543362,0.0106896037922474,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","rmse",0.337426092094422,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","mean_se_emp",0.313396089444544,0.00205522517772349,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","mean_se_stk",0.344131643646235,0.00224170240763679,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","se_ratio_emp",0.928039996820705,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","se_ratio_stk",1.0190552474391,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","cov_emp",0.934,0.0111035129576184,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","cov_stk",0.96,0.00876356092008266,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","width_emp",1.22851267062261,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","width_stk",1.34899604309324,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","cov_w1_stk",0.996,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","cov_w2_stk",1,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","width_w1_stk",2.03725933038571,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","width_w2_stk",2.72552261767818,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","trim_frac",0.201228,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","n_fail",0,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"trt_bic","n_reps",500,NA,1.41735934813817,"treatment-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"bch","bias",-0.00365310133767993,0.0146450174822422,1.41735934813817,"BCH double selection + AIPW"
"I","I (n=500,p=20)",500,20,"bch","emp_sd",0.327472546219663,0.0103659623227824,1.41735934813817,"BCH double selection + AIPW"
