# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits. 

        cell      arm reps fits mean_dim ps_nonconv ps_boundary ps_rankdef_fits
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0279               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0
             0.0000               0         0

est_check = largest |estimate from the instrumented refits - estimate from aipw_from_sets()| over the replications (identity check).

Totals over all cells and arms:
            fits       ps_nonconv      ps_boundary  ps_rankdef_fits 
           15975               54                0                0 
out_rankdef_fits        ginv_fits 
               0                6 
